gen 237	best -182.18	worst -852.689
gen 238	best -129.781	worst -985.507
gen 239	best -56.2478	worst -772.831
gen 240	best -67.7798	worst -752
gen 241	best -157.582	worst -705.41
gen 242	best -123.118	worst -1156.14
gen 243	best -136.173	worst -892.07
gen 244	best -318.505	worst -1042.08
gen 245	best -111.352	worst -1059.79
gen 246	best -608.143	worst -1123.89
gen 247	best -241.631	worst -906.436
gen 248	best -175.661	worst -732.073
gen 249	best -87.4987	worst -810.912
gen 250	best -148.456	worst -927.987
gen 251	best -243.734	worst -853.348
gen 252	best -104.224	worst -1125.86
gen 253	best -181.247	worst -969.929
gen 254	best -114.243	worst -919.799
gen 255	best -387.884	worst -1048.72
gen 256	best -95.5036	worst -938.107
gen 257	best -122.262	worst -1049.22
gen 258	best -418.773	worst -913.615
gen 259	best -214.703	worst -742.352
gen 260	best -276.553	worst -904.603
gen 261	best -223.251	worst -990.939
gen 262	best -103.216	worst -899.501
gen 263	best -387.649	worst -813.305
gen 264	best -249.773	worst -984.983
gen 265	best -222.936	worst -831.686
gen 266	best -160.024	worst -846.232
gen 267	best -152.589	worst -995.43
gen 268	best -95.7664	worst -747.391
gen 269	best -110.459	worst -1145.15
gen 270	best -414.385	worst -865.085
gen 271	best -266.542	worst -1134.57
gen 272	best -127.185	worst -914.531
gen 273	best -60.5215	worst -807.838
gen 274	best -95.9255	worst -872.985
gen 275	best -150.453	worst -913.786
gen 276	best -66.3922	worst -830.457
gen 277	best -267.247	worst -590.242
gen 278	best -156.446	worst -755.102
gen 279	best -303.258	worst -883.147
gen 280	best -459.039	worst -1085.75
gen 281	best -288.813	worst -944.685
gen 282	best -109.69	worst -840.514
gen 283	best -165.787	worst -591.693
gen 284	best -107.831	worst -732.669
gen 285	best -539.443	worst -1258.99
gen 286	best -377.91	worst -870.87
gen 287	best -173.482	worst -661.832
gen 288	best -85.2325	worst -844.384
gen 289	best -80.8259	worst -810.529
gen 290	best -221.166	worst -815.529
gen 291	best -290.865	worst -850.575
gen 292	best -109.357	worst -662.242
gen 293	best -204.781	worst -759.151
gen 294	best -127.969	worst -717.082
gen 295	best -176.449	worst -997.352
gen 296	best -163.422	worst -927.705
gen 297	best -247.128	worst -704.163
gen 298	best -225.098	worst -669.005
gen 299	best -130.368	worst -853.029
gen 300	best -380.373	worst -866.644
gen 301	best -108.609	worst -812.805
gen 302	best -136.367	worst -729.929
gen 303	best -485.863	worst -1095.07
gen 304	best -411.249	worst -1064.39
gen 305	best -93.949	worst -880.512
gen 306	best -121.199	worst -889.302
gen 307	best -96.6041	worst -700.521
gen 308	best -195.415	worst -652.061
gen 309	best -341.926	worst -942.95
gen 310	best -68.0353	worst -494.634
gen 311	best -117.414	worst -793.37
gen 312	best -113.495	worst -874.087
gen 313	best -314.703	worst -909.983
gen 314	best -65.6727	worst -737.168
gen 315	best -205.601	worst -952.883
gen 316	best -222.943	worst -1027.32
gen 317	best -145.369	worst -895.003
gen 318	best -345.38	worst -810.799
gen 319	best -96.9073	worst -740.514
gen 320	best -107.711	worst -707.399
gen 321	best -62.2651	worst -759.937
gen 322	best -390.165	worst -844.997
gen 323	best -299.879	worst -841.371
gen 324	best -429.74	worst -857.604
gen 325	best -189.732	worst -810.102
gen 326	best -230	worst -732.971
gen 327	best -140.94	worst -644.231
gen 328	best -87.0825	worst -729.192
gen 329	best -332.964	worst -1002.19
gen 330	best -151.009	worst -764.616
gen 331	best -578.292	worst -1107.53
gen 332	best -101.451	worst -825.568
gen 333	best -160.665	worst -780.313
gen 334	best -71.5805	worst -812.528
gen 335	best -87.5997	worst -901.662
gen 336	best -214.809	worst -911.191
gen 337	best -136.39	worst -794.221
gen 338	best -58.35	worst -794.04
gen 339	best -242.684	worst -999.324
gen 340	best -183.649	worst -693.43
gen 341	best -263.083	worst -781.664
gen 342	best -75.0441	worst -867.186
gen 343	best -110.369	worst -721.055
gen 344	best -223.576	worst -895.743
gen 345	best -654.768	worst -1096.67
gen 346	best -436.011	worst -1066.95
gen 347	best -174.685	worst -946.117
gen 348	best -153.515	worst -737.087
gen 349	best -118.246	worst -1017.85
gen 350	best -143.729	worst -883.828
gen 351	best -162.689	worst -719.84
gen 352	best -117.933	worst -828.676
gen 353	best -98.8619	worst -828.931
gen 354	best -69.2552	worst -766.188
gen 355	best -193.559	worst -892.883
gen 356	best -444.428	worst -979.36
gen 357	best -382.508	worst -1108.09
gen 358	best -269.334	worst -768.353
gen 359	best -238.674	worst -1122.62
gen 360	best -274.936	worst -525.381
gen 361	best -100.058	worst -637.026
gen 362	best -173.783	worst -785.016
